id,name,brand,address,phone,hours,open_24h,zone,dist_km,lat,lng,google_maps
1,Estación de Gasolina La Lira,Independiente,Av. Lope de Vega Esq.,,Abierto 24 horas,yes,Dentro del polígono,0.28,18.4696131,-69.9320763,"https://www.google.com/maps/search/?api=1&query=18.4696131,-69.9320763"
2,TotalEnergies La 27,TotalEnergies,Av. 27 de Febrero,(809) 227-4300,Abierto 24 horas,yes,Dentro del polígono,0.37,18.4669784,-69.9267016,"https://www.google.com/maps/search/?api=1&query=18.4669784,-69.9267016"
3,TotalEnergies Tiradentes,TotalEnergies,Av. Tiradentes 49,(829) 745-3201,Abierto 24 horas,yes,Dentro del polígono,0.51,18.4712378,-69.925242,"https://www.google.com/maps/search/?api=1&query=18.4712378,-69.925242"
4,Next • Lincoln,Next,Av. Abraham Lincoln 504,,Abierto 24 horas,yes,Dentro del polígono,0.54,18.4714273,-69.9339112,"https://www.google.com/maps/search/?api=1&query=18.4714273,-69.9339112"
5,TotalEnergies On The Boulevard,TotalEnergies,Av. Winston Churchill 36,(809) 567-0441,Cierra 10:00 p.m.,no,Dentro del polígono,0.99,18.4642862,-69.9374881,"https://www.google.com/maps/search/?api=1&query=18.4642862,-69.9374881"
6,Axxon • Bella Vista,Axxon,Av. Enrique Jiménez Moya (F359+82G),(809) 532-0880,Abierto 24 horas,yes,Borde / adyacente,1.23,18.4583124,-69.9324099,"https://www.google.com/maps/search/?api=1&query=18.4583124,-69.9324099"
7,Tropigás Piantini,Tropigás,C. Paseo de los Locutores 53,,Abierto 24 horas,yes,Dentro del polígono,1.26,18.4642231,-69.9403312,"https://www.google.com/maps/search/?api=1&query=18.4642231,-69.9403312"
8,TotalEnergies Millennium,TotalEnergies,Av. Rómulo Betancourt 267,(809) 563-5058,Cierra 12:00 a.m.,no,Dentro del polígono,1.27,18.4595167,-69.9361986,"https://www.google.com/maps/search/?api=1&query=18.4595167,-69.9361986"
9,TotalEnergies Paraíso,TotalEnergies,Av. Winston Churchill 80,(809) 567-7737,Abierto 24 horas,yes,Dentro del polígono,1.47,18.4743253,-69.9422371,"https://www.google.com/maps/search/?api=1&query=18.4743253,-69.9422371"
10,TotalEnergies La Kennedy,TotalEnergies,Av. John F. Kennedy,(809) 227-4300,Abierto 24 horas,yes,Borde / adyacente,1.56,18.4830354,-69.928787,"https://www.google.com/maps/search/?api=1&query=18.4830354,-69.928787"
11,Next (Bernardo Correa y Cidrón),Next,Av. Dr. Bernardo Correa y Cidrón (F34F+5V6),,Cierra 11:55 p.m.,no,Borde / adyacente,1.57,18.4554105,-69.9253491,"https://www.google.com/maps/search/?api=1&query=18.4554105,-69.9253491"
12,TotalEnergies Mega,TotalEnergies,Av. Lope de Vega Esq.,(809) 567-2870,Abierto 24 horas,yes,Borde / adyacente,1.62,18.4834704,-69.930806,"https://www.google.com/maps/search/?api=1&query=18.4834704,-69.930806"
13,TotalEnergies San Martín,TotalEnergies,Av. San Martín esq. Tiradentes,(809) 227-4300,Cierra 10:00 p.m.,no,Borde / adyacente,1.65,18.4838272,-69.9288259,"https://www.google.com/maps/search/?api=1&query=18.4838272,-69.9288259"
14,VP Racing Store Santo Domingo,VP Racing,C. Emile Boyrie de Moya,(809) 692-5745,Cierra 5:00 p.m.,no,Dentro del polígono,1.77,18.4597308,-69.9430734,"https://www.google.com/maps/search/?api=1&query=18.4597308,-69.9430734"
15,Óptimo Gas,Óptimo Gas,C. Rafael Augusto Sánchez 114,(849) 876-5977,Cierra 11:00 p.m.,no,Borde / adyacente,1.79,18.4658333,-69.9461111,"https://www.google.com/maps/search/?api=1&query=18.4658333,-69.9461111"
16,Texaco (Av. Máximo Gómez / F3CQ+24P),Texaco,"F3CQ+24P, Santo Domingo",(809) 682-6899,Cierra 12:00 a.m.,no,Borde / adyacente,1.83,18.4700892,-69.9121696,"https://www.google.com/maps/search/?api=1&query=18.4700892,-69.9121696"
17,Trovasa Hand Wash & Store,Trovasa,Av. 27 de Febrero 349,(809) 566-4313,Cierra 9:30 p.m.,no,Dentro del polígono,1.84,18.4595286,-69.9437936,"https://www.google.com/maps/search/?api=1&query=18.4595286,-69.9437936"
18,Shell (27 de Febrero),Shell,Av. 27 de Febrero 349,(809) 542-4752,Cierra 8:00 p.m.,no,Dentro del polígono,1.85,18.459345,-69.943707,"https://www.google.com/maps/search/?api=1&query=18.459345,-69.943707"
19,Sigma 27 de Febrero,Sigma,Av. 27 de Febrero,(809) 530-8531,Cierra 12:00 a.m.,no,Borde / adyacente,1.98,18.4583289,-69.9445413,"https://www.google.com/maps/search/?api=1&query=18.4583289,-69.9445413"
20,TotalEnergies Quisqueya,TotalEnergies,Av. Máximo Gómez 2,(809) 686-7204,Cierra 11:00 p.m.,no,Borde / adyacente,2.08,18.4648312,-69.9103269,"https://www.google.com/maps/search/?api=1&query=18.4648312,-69.9103269"
